T,f,Ain,Aout,phase,k
0.1,10,2,18,-168,9.54
0.01,100,3,18.8,-140,7.97
0.002,500,1.5,5.44,-105,5.6
0.001,1000,3,2.76,-98,-0.36
0.0005,2000,2.5,1.18,-94,-3.26
0.00033,3000,2.5,0.8,-91,-4.95
0.00025,4000,2.5,0.6,-91,-6.2
0.00013,8000,2.5,0.4,-95,-7.96
0.0001,10000,3,0.292,-90,-10.12
0.00005,20000,3.5,0.136,-87,-14.11
0.000025,40000,2.5,0.076,-81,-15.17
0.00001,100000,7,0.112,-55,-17.96
0.0000033,300000,5.5,0.074,-25,-18.71
